ID,NUME,RATING
1,WILLOW,5
2,HARLEY,5
3,JAKE,5
4,LOKI,5
5,PENNY,5
6,RILEY,5
7,COCO,5
8,JASPER,5
9,PIPER,5
10,LILLY,5
11,WINSTON,5
12,ZOE,5
13,HAZEL,5
14,TEDDY,5
15,JAX,5
16,JUNO,5
17,SUGAR,5
18,HENRY,5
19,MOOSE,5
20,SMOKEY,5
21,BELLE,5
22,BOO,5
23,CHICO,5
24,SPIKE,5
25,CALLIE,5
26,OREO,5
27,REX,5
28,RIVER,5
29,YUKI,5
30,BUBBA,5
31,HOPE,5
32,REMINGTON,5
33,RUFUS,5
34,ALLIE,5
35,CRICKET,5
36,GIGI,5
37,KAI,5
38,MCKINLEY,5
39,RASCAL,5
40,SHILOH,5
41,ZEKE,5
42,CHIEF,5
43,GOLDIE,5
44,HANNAH,5
45,MAUI,5
46,ROWDY,5
47,SALLY,5
48,SARA,5
49,SHEBA,5
50,TRIXIE,5
51,ZIVA,5
52,ACHILLES,5
53,BOLT,5
54,BOOTS,5
55,BRISTOL,5
56,CHARLEY,5
57,DASH,5
58,DUTCH,5
59,ELVIS,5
60,FINLEY,5
61,FRITZ,5
62,GERTIE,5
63,GRACE,5
64,INDY,5
65,KETA,5
66,MOKI,5
67,OZZY,5
68,RIO,5
69,SWEET PEA,5
70,AJAX,5
71,BRODIE,5
72,COAL,5
73,DOBBY,5
74,DUDE,5
75,HATCHER,5
76,JESSE,5
77,JOY,5
78,KOBE,5
79,MORGAN,5
80,NANOOK,5
81,PEACHES,5
82,SIMON,5
83,SUMMER,5
84,VIOLET,5
85,WINNIE,5
86,JUNE,5
87,ALEX,5
88,AUTUMN,5
89,AVA,5
90,AYLA,5
91,BALOO,5
92,BETTY,5
93,BROWNIE,5
94,BULLET,5
95,CORA,5
96,DEUCE,5
97,DOLLY,5
98,EASTON,5
99,ENZO,5
100,FENWAY,5
101,FREDDIE,5
102,HAPPY,5
103,HARLOW,5
104,HOSS,5
105,KAIA,5
106,LYLA,5
107,MACK,5
108,MERLIN,5
109,MUFFIN,5
110,POLLY,5
111,PONCHO,5
112,TESLA,5
113,WILLIE,5
114,WRANGELL,5
115,ARIES,5
116,ARTEMIS,5
117,ATKA,5
118,BENELLI,5
119,BODIE,5
120,BOULDER,5
121,BRADY,5
122,BRIAN,5
123,BUD,5
124,CASPIAN,5
125,CUPCAKE,5
126,DARWIN,5
127,DHARMA,5
128,DOUGLAS,5
129,EDISON,5
130,FINNIGAN,5
131,GORDY,5
132,JACKIE,5
133,JESSIE,5
134,JUNIOR,5
135,KAHLUA,5
136,KELLER,5
137,KILLIAN,5
138,MAE,5
139,MAPLE,5
140,NICKI,5
141,NIKO,5
142,NOODLES,5
143,NORA,5
144,ORION,5
145,PETEY,5
146,ROCKO,5
147,SHASTA,5
148,SPENCER,5
149,SUKI,5
150,TESSA,5
151,TINA,5
152,TINK,5
153,YETI,5
154,ANNABELLE,5
155,ARNOLD,5
156,AZULA,5
157,BARON,5
158,BASIL,5
159,BENJI,5
160,BENNIE,5
161,BERNARD,5
162,BEYLA,5
163,BLEU,5
164,BLITZ,5
165,BOOTSIE,5
166,BREE,5
167,BROOK,5
168,BUBBY,5
169,BUTCH,5
170,CAMI,5
171,CANDY,5
172,CARRIE,5
173,CHEWBARKA,5
174,CHILLI,5
175,CHOLO,5
176,CISCO,5
177,CORKY,5
178,CORONA,5
179,CRUZ,5
180,DAISY MAY,5
181,DANI,5
182,DEMPSEY,5
183,DEWEY,5
184,DIZZY,5
185,DUCHESS,5
186,FARLEY,5
187,FINNEGAN,5
188,FLIP,5
189,FORD,5
190,FRIDA,5
191,GIBBS,5
192,GOOFY,5
193,GRETA,5
194,GUNTHER,5
195,GUSTAVO,5
196,HAWKEYE,5
197,HENDRIX,5
198,HONDO,5
199,HUBERT,5
200,INGRID,5
201,IVORY,5
202,JAGGER,5
203,JAMESON,5
204,JAY,5
205,JEDI,5
206,JET,5
207,JINGLES,5
208,JOANIE,5
209,JUICE,5
210,KEELY,5
211,KEETA,5
212,KEIRA,5
213,KIKO,5
214,KINGSTON,5
215,KIRBY,5
216,KIWI,5
217,KJ,5
218,KLHOE,5
219,KOJI,5
220,LAIKA,5
221,LANA,5
222,LEXIE,5
223,LINK,5
224,LITTLE GIRL,5
225,LOLLY,5
226,MACHO,5
227,MALAKAI,5
228,MATEO,5
229,MCKENNA,5
230,MERCEDES,5
231,MIKEY,5
232,MISHA,5
233,MJ,5
234,MOANA,5
235,MONGO,5
236,MONTE,5
237,MONTY,5
238,NEWTON,5
239,OLI,5
240,OPHELIA,5
241,PATRIOT,5
242,PEDRO,5
243,PIKA,5
244,PRETZEL,5
245,PUCK,5
246,RHUBARB,5
247,ROLO,5
248,ROSEMARY,5
249,ROY,5
250,SABLE,5
251,SCHNITZEL,5
252,SHAYLA,5
253,SHELDON,5
254,SID,5
255,SIENNA,5
256,SKADI,5
257,STEVIE,5
258,TAYLOR,5
259,TEBOW,5
260,THEO,5
261,TIVA,5
262,TROUBLE,5
263,VANILLA,5
264,XANDER,5
265,TUESDAY,5
266,ADAM,5
267,AGATE,5
268,AKI,5
269,ALEXANDER,5
270,ALLIE GIRL,5
271,ALY,5
272,AMAK,5
273,AMINA,5
274,AMY,5
275,ANGELINA,5
276,ANIOT,5
277,ANNABELLA,5
278,ANTHONY CRIT,5
279,AOIFE,5
280,AQUILA,5
281,ARBELL,5
282,ARCKOS,5
283,ARGO,5
284,ARIE,5
285,ARWEN,5
286,ASHE,5
